hotel_name;review_score;id
RedDoorz Syariah @ Babadan Baru Jakal;9.0;21824
Grapyak Homestay Syariah;7.9;21823
Kinasih Hotel Yogyakarta;6.2;22153
Bilik Bamboo Hostel;9.4;22197
Hotel Supalana;7.9;85099B
RedDoorz near Rumah Sakit Condong Catur;8.1;85099F
Tsabit Guest house;8.5;20717
OYO 1303 Golden Inn 2;7.8;20723
Bale Ayu Homestay;8.0;22900
Omah Prapen Homestay;8.9;21980
Raintree Boutique Villa & Gallery;8.6;22111
Setia Backpacker;8.2;22112
Kamala House;9.6;20728
RedDoorz near Galeria Mall 2;7.7;22382
Rumah Sawah;9.4;22326
Serene Home of the Heart;8.0;22662
OYO 1542 Yessy Mansion;7.6;22383
RedDoorz Hostel near Adisucipto Airport Yogyakarta;8.4;20727
Catleya Guesthouse;6.4;22328
OYO 895 Mahameru Residence Near RS Condong Catur;8.6;22327
OYO 2454 Wanawiyata Residence;6.4;22630
Rumah Kayen Family Homestay;8.4;22629
Griya Tugu Jogja;9.2;21245
OYO 2432 Malioboro Upy Best Prime;7.4;21244
OYO 2061 Rizki Dhira Guest House Syariah;7.5;21242
Hotel Nagari Malioboro;7.8;21243
OYO 392 Hotel Mawar Saron Near RS Bethesda;7.6;22327
Hana homestay Yogyakarta;8.7;22273
RedDoorz @ Nologaten Ambarukmo;6.6;22940
Cotton House Monjali;8.8;22652
Hotel Popi - Pondok Pisang;5.6;22759
Sagan Huis Hotel;8.9;21880
RedDoorz Plus near UPN Jogjakarta 2;6.1;21738
The Wayang Homestay;8.7;22077
Reddoorz Syariah near Wijilan Yogyakarta;7.6;85049E
Puri Minggiran Guest House;8.7;22961
New Chez Laelik Homestay Jogja;7.8;21448
RedDoorz @ Rejowinangun Kotagede 2;6.6;22837
OYO 586 Hotel Wijaya Near RSUD Prambanan;7.3;22749
Wongso hostel;8.6;22940
D Ajenk Boutique Guest House;8.9;22749
Griya Jetis Tugu;9.2;22077
OYO 1626 Alena Residence Near RS Ludira Husada Tama;7.9;21738
OYO 931 Dara Dewi Residence;8.3;85049E
RedDoorz near Mall Ambarukmo Yogyakarta;6.5;22243
LYNN Hotel by Horison;7.8;22141
Omah Sastro;7.5;22144
OYO 1242 Penginapan Rb Syariah;8.3;22243
RedDoorz near Kranggan Tugu Jogja;6.3;22077
Penginapan Prima;5.8;21448
Bi.es Homestay;4.7;22759
Pondok Ijo Guesthouse & Restaurant;8.7;22242
OYO 1277 Pondok Damai Syariah;5.3;85049E
OYO 583 Royal Gejayan Homestay;8.3;21731
Pendowo Huis Guest House;8.3;22243
OYO 426 Hotel Gading Resto;6.8;21739
Hoz Bed & Breakfast;8.5;21738
RedDoorz near Terminal Condong Catur;7.2;22271
SPOT ON 2107 Ijo Pupus Syariah Residence;7.2;22273
Omah Konco Yogyakarta;8.6;22274
Banana Homestay;8.5;22749
S5 Guest House Yogyakarta;9.2;22751
Kotagede Heritage Homestay;8.0;21034
OYO LIFE 2339 Jennaira Syariah;7.8;22273
SPOT ON 2754 Miyagi Guesthouse;7.0;22568
Grass Root Homestay;9.0;22141
OYO 2469 Cashlez Homestay;6.9;22144
Homestay Dipo 71;6.2;22570
Kembar Guesthouse;7.7;22569
Gado-gado BnB;9.3;21448
Mamagayo inn;8.1;22086
D'Angkring Wisma Sarjana;4.7;22569
RedDoorz near Universitas Islam Indonesia;8.8;21448
Mas Gun Guest House;8.0;22968
OYO 1593 Pondok Garini Syariah;8.4;22902
JJ House Wahid Hasyim;7.5;21448
